Country,Region,,,,,
UAE,Middle East,,,,,
Argentina,South America,,,,,
Australia,Australia / Oceania,,,,,
Brazil,South America,,,,,
Canada,Canada,,,,,
Switzerland,Europe,,,,,
Chile,South America,,,,,
China,Asia,,,,,
Colombia,South America,,,,,
Costa Rica,Central America,,,,,
Czech Republic,Europe,,,,,
Denmark,Europe,,,,,
Egypt,Africa,,,,,
Euro area,Europe,,,,,
Britain,Europe,,,,,
Hong Kong,Asia,,,,,
Hungary,Europe,,,,,
Indonesia,Asia,,,,,
India,Asia,,,,,
Israel,Middle East,,,,,
Japan,Asia,,,,,
South Korea,Asia,,,,,
Sri Lanka,Asia,,,,,
Mexico,Mexico,,,,,
Malaysia,Asia,,,,,
Norway,Europe,,,,,
New Zealand,Australia / Oceania,,,,,
Pakistan,Asia,,,,,
Peru,South America,,,,,
Philippines,Asia,,,,,
Poland,Europe,,,,,
Russia,Europe,,,,,
Saudi Arabia,Middle East,,,,,
Singapore,Asia,,,,,
Sweden,Europe,,,,,
Thailand,Asia,,,,,
Turkey,Europe,,,,,
Taiwan,Asia,,,,,
Ukraine,Europe,,,,,
Uruguay,South America,,,,,
United States,US,,,,,
Vietnam,Asia,,,,,
South Africa,Africa,,,,,
